1k4c,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1m56,0,0,0,0,0,0,0,0,0,0
1ots,0,0,0,0,0,0,0,0,0,0
2bg9,30.789,62.071,55.725,33.167,55.279,24.804,52.796,27.855,30.750,37.765
2bs2,0,0,0,0,0,0,0,0,0,0
2gsk,0,0,0,0,0,0,0,0,0,0
2hdi,20.763,26.460,19.390,19.825,19.907,23.223,20.255,22.781,22.701,21.486
2hi7,11.246,11.300,15.692,15.060,12.819,10.745,15.949,10.326,13.142,11.449
2k9j,11.916,11.982,6.213,6.690,11.768,12.064,12.665,5.982,4.960,5.333
2ks1,9.918,3.931,11.217,3.501,5.512,8.924,9.857,6.018,12.056,5.040
2r6g-TM,0,0,0,0,0,0,0,0,0,0
2r6g-TM-cyto,0,0,0,0,0,0,0,0,0,0
2r6g-TM-peri,0,0,0,0,0,0,0,0,0,0
2vpz,0,0,0,0,0,0,0,0,0,0
2zxe-AB,0,0,0,0,0,0,0,0,0,0
2zxe-AG,0,0,0,0,0,0,0,0,0,0
3csl,0,0,0,0,0,0,0,0,0,0
3hd7,0,0,0,0,0,0,0,0,0,0
3o0r,0,0,0,0,0,0,0,0,0,0
3p0g,0,0,0,0,0,0,0,0,0,0
3v8x,0,0,0,0,0,0,0,0,0,0
3wxw,0,0,0,0,0,0,0,0,0,0
3x29,0,0,0,0,0,0,0,0,0,0
4hg6,0,0,0,0,0,0,0,0,0,0
4huq-TM,0,0,0,0,0,0,0,0,0,0
4huq-TM-A,0,0,0,0,0,0,0,0,0,0
4huq-TM-B,0,0,0,0,0,0,0,0,0,0
4j3o,0,0,0,0,0,0,0,0,0,0
4m48,0,0,0,0,0,0,0,0,0,0
4q35,0,0,0,0,0,0,0,0,0,0
5a63-AC,0,0,0,0,0,0,0,0,0,0
5a63-BC,0,0,0,0,0,0,0,0,0,0
5aww,0,0,0,0,0,0,0,0,0,0
5d0o,0,0,0,0,0,0,0,0,0,0
5fxb,0,0,0,0,0,0,0,0,0,0
